Recipient Name,Start Date,End Date,Award Amount,Awarding Agency,Contract Award Type,state,naics
"GIGA, INC.",6/5/18,7/20/18,4488.04,Department of Defense,PURCHASE ORDER,GA,335129
"GIGA, INC.",5/29/18,7/13/18,114,Department of Defense,PURCHASE ORDER,GA,335129
"GIGA, INC.",5/21/18,7/17/18,2918.4,Department of Defense,PURCHASE ORDER,GA,335129
"GIGA, INC.",4/26/18,6/11/18,36.5,Department of Defense,PURCHASE ORDER,GA,335129
"GIGA, INC.",3/26/18,5/25/18,13835.25,Department of Defense,PURCHASE ORDER,GA,335129
"GIGA, INC.",3/14/18,4/13/18,87.1,Department of Defense,PURCHASE ORDER,GA,335129
"WRAGAL, LLC",11/15/17,1/4/18,148.5,Department of Defense,PURCHASE ORDER,GA,335129
"GIGA, INC.",8/1/18,9/5/18,3310.45,Department of Defense,PURCHASE ORDER,GA,335129
"GIGA, INC.",7/17/18,8/31/18,5850.07,Department of Defense,PURCHASE ORDER,GA,335129
"GIGA, INC.",3/30/18,4/30/18,259.5,Department of Defense,PURCHASE ORDER,GA,335129
DUTCH VALLEY SUPPLY CO.,11/13/18,7/15/19,500,Department of Defense,PURCHASE ORDER,GA,335129
"S&K LOGISTICS SERVICES, LLC",2/27/18,10/30/18,29298,Department of Defense,PURCHASE ORDER,GA,335129
"AIRCRAFT LIGHTING, INC.",2/14/18,3/16/18,9133.2,Department of Defense,PURCHASE ORDER,GA,335129
"AIRCRAFT LIGHTING, INC.",2/13/18,3/6/18,1672,Department of Defense,PURCHASE ORDER,GA,335129
"AIRCRAFT LIGHTING, INC.",2/12/18,4/13/18,3358,Department of Defense,PURCHASE ORDER,GA,335129
"AIRCRAFT LIGHTING, INC.",2/12/18,3/29/18,3999.6,Department of Defense,PURCHASE ORDER,GA,335129
DUTCH VALLEY SUPPLY CO.,4/30/18,10/24/18,24221.86,Department of Defense,PURCHASE ORDER,GA,335129
"S&K LOGISTICS SERVICES, LLC",9/6/18,5/29/19,14182.8,Department of Defense,PURCHASE ORDER,GA,335129
DUTCH VALLEY SUPPLY CO.,7/16/18,11/8/18,1035.9,Department of Defense,PURCHASE ORDER,GA,335129
"GIGA, INC.",1/9/18,2/8/18,27269.64,Department of Defense,DELIVERY ORDER,GA,335129
DUTCH VALLEY SUPPLY CO.,1/3/18,8/21/18,9928.08,Department of Defense,DELIVERY ORDER,GA,335129
"GIGA, INC.",7/20/18,8/20/18,59071.95,Department of Defense,DELIVERY ORDER,GA,335129
"GIGA, INC.",7/20/18,8/20/18,88400.56,Department of Defense,DELIVERY ORDER,GA,335129
"GIGA, INC.",7/19/18,8/20/18,51965.55,Department of Defense,DELIVERY ORDER,GA,335129
"GIGA, INC.",6/15/18,7/16/18,27269.64,Department of Defense,DELIVERY ORDER,GA,335129
DUTCH VALLEY SUPPLY CO.,5/10/18,12/26/18,13689.78,Department of Defense,DELIVERY ORDER,GA,335129
"GIGA, INC.",5/1/18,5/31/18,27818.91,Department of Defense,DELIVERY ORDER,GA,335129
DUTCH VALLEY SUPPLY CO.,4/3/18,11/19/18,19856.16,Department of Defense,DELIVERY ORDER,GA,335129
"AIRCRAFT LIGHTING, INC.",11/19/18,12/19/18,6990.62,Department of Defense,PURCHASE ORDER,GA,335129
"AIRCRAFT LIGHTING, INC.",12/14/18,1/23/19,5017.35,Department of Defense,PURCHASE ORDER,GA,335129
"AIRCRAFT LIGHTING, INC.",10/5/18,10/26/18,1680.8,Department of Defense,PURCHASE ORDER,GA,335129
"GIGA, INC.",1/3/18,2/2/18,51965.55,Department of Defense,DELIVERY ORDER,GA,335129
"AIRCRAFT LIGHTING, INC.",5/1/18,5/22/18,614.4,Department of Defense,PURCHASE ORDER,GA,335129
"ARIA LIGHTS, INC.",4/3/18,5/2/18,8494.19,Department of Homeland Security,PURCHASE ORDER,GA,335129
TEREX CORPORATION,8/2/18,12/31/18,8733255.6,General Services Administration,DELIVERY ORDER,GA,335129
TEREX CORPORATION,2/21/18,6/21/18,1579505.12,General Services Administration,DELIVERY ORDER,GA,335129
TEREX CORPORATION,4/29/17,4/28/20,0.01,General Services Administration,DELIVERY ORDER,GA,335129
"1 STOP ELECTRONICS CENTER, INC.",8/1/18,9/30/18,4385.72,Department of Health and Human Services,DELIVERY ORDER,GA,335210
"1 STOP ELECTRONICS CENTER, INC.",6/13/18,9/30/18,3878,Department of Health and Human Services,DELIVERY ORDER,GA,335210
EXCALIBUR LAUNDRIES INC,9/17/18,10/16/18,49710.15,Department of Defense,PURCHASE ORDER,GA,335220
INKRUMAH EXPORTING AND FOOD SERVICES LLC,5/30/18,7/10/18,0,Department of Defense,PURCHASE ORDER,GA,335220
"GIGA, INC.",9/25/18,10/31/18,16488,Department of Defense,PURCHASE ORDER,GA,335220
"GIGA, INC.",9/18/18,10/27/18,7488,Department of Defense,PURCHASE ORDER,GA,335220
"CITISCO, LLC",9/11/18,10/24/18,3531.6,Department of Defense,PURCHASE ORDER,GA,335220
"ANYTIME LAUNDRY, LLC",1/23/18,2/22/18,14504.52,Department of Veterans Affairs,PURCHASE ORDER,GA,335220
MENSCH MILL & LUMBER CORP.,6/30/18,8/30/18,6799.08,Department of Veterans Affairs,PURCHASE ORDER,GA,335220
"STOVALL BUSINESS SOLUTIONS, LLC",5/21/18,6/21/18,6137.53,Department of Veterans Affairs,PURCHASE ORDER,GA,335220
EXPORT 220VOLT INC.,9/4/18,12/31/18,706,Department of Education,DELIVERY ORDER,GA,335222
NIDEC MOTOR CORPORATION,9/25/17,7/27/19,611518.7,Department of Defense,PURCHASE ORDER,GA,335311
TRISTAR POWER SYSTEMS LLC,9/30/14,9/29/19,17500,Department of Defense,PURCHASE ORDER,GA,335311
KIPPER TOOL COMPANY,11/8/18,9/27/19,889180,Department of Defense,DELIVERY ORDER,GA,335311
KIPPER TOOL COMPANY,11/7/18,9/27/19,10419853,Department of Defense,DELIVERY ORDER,GA,335311
KIPPER TOOL COMPANY,10/4/18,12/21/18,1333770,Department of Defense,DELIVERY ORDER,GA,335311
CANNON LOAD BANKS INC,6/12/18,9/4/18,8265,Department of Defense,PURCHASE ORDER,GA,335311
DUTCH VALLEY SUPPLY CO.,1/22/18,1/22/19,20644,Department of Defense,PURCHASE ORDER,GA,335311
"ECI DEFENSE GROUP, INC.",8/2/17,1/31/19,8620,Department of Defense,PURCHASE ORDER,GA,335311
DUTCH VALLEY SUPPLY CO.,2/26/18,6/26/18,17635.3,Department of Defense,PURCHASE ORDER,GA,335311
ACCU-TECH CORPORATION,12/4/18,1/4/19,1308.12,Department of Defense,PURCHASE ORDER,GA,335311
JERED LLC,10/26/18,6/21/19,23342.5,Department of Defense,PURCHASE ORDER,GA,335311
JERED LLC,6/27/18,2/20/19,12424.45,Department of Defense,PURCHASE ORDER,GA,335311
JERED LLC,1/11/18,8/23/18,24970,Department of Defense,PURCHASE ORDER,GA,335311
"GIGA, INC.",7/16/18,11/13/18,549,Department of Defense,PURCHASE ORDER,GA,335311
"AUGUSTA ENGINE PARTS, INC.",5/23/18,8/23/18,10832.4,Department of Defense,PURCHASE ORDER,GA,335311
"AUGUSTA ENGINE PARTS, INC.",7/17/18,10/15/18,17284,Department of Defense,PURCHASE ORDER,GA,335311
VERTEX LLC,4/2/18,8/30/18,0,Department of Defense,PURCHASE ORDER,GA,335311
"AUGUSTA ENGINE PARTS, INC.",8/27/18,9/6/18,46.12,Department of Defense,PURCHASE ORDER,GA,335311
"PHILLIP CABLE MANUFACTURING, INC",9/14/18,4/2/19,1999.98,Department of Defense,PURCHASE ORDER,GA,335311
"PHILLIP CABLE MANUFACTURING, INC",12/21/18,7/9/19,1490.99,Department of Defense,PURCHASE ORDER,GA,335311
"PHILLIP CABLE MANUFACTURING, INC",12/20/18,7/8/19,2995.9,Department of Defense,PURCHASE ORDER,GA,335311
"PHILLIP CABLE MANUFACTURING, INC",12/20/18,7/8/19,6749.91,Department of Defense,PURCHASE ORDER,GA,335311
"PHILLIP CABLE MANUFACTURING, INC",12/18/18,7/8/19,11599.96,Department of Defense,PURCHASE ORDER,GA,335311
"PHILLIP CABLE MANUFACTURING, INC",12/17/18,7/5/19,7399.98,Department of Defense,PURCHASE ORDER,GA,335311
"PHILLIP CABLE MANUFACTURING, INC",12/12/18,7/1/19,1441.98,Department of Defense,PURCHASE ORDER,GA,335311
"PHILLIP CABLE MANUFACTURING, INC",12/12/18,7/1/19,1799.99,Department of Defense,PURCHASE ORDER,GA,335311
"PHILLIP CABLE MANUFACTURING, INC",12/12/18,7/1/19,3560.9,Department of Defense,PURCHASE ORDER,GA,335311
"PHILLIP CABLE MANUFACTURING, INC",12/12/18,7/1/19,3399.98,Department of Defense,PURCHASE ORDER,GA,335311
"PHILLIP CABLE MANUFACTURING, INC",12/12/18,7/1/19,8099.97,Department of Defense,PURCHASE ORDER,GA,335311
"PHILLIP CABLE MANUFACTURING, INC",12/12/18,7/1/19,6159.9,Department of Defense,PURCHASE ORDER,GA,335311
"PHILLIP CABLE MANUFACTURING, INC",12/12/18,7/1/19,1099.56,Department of Defense,PURCHASE ORDER,GA,335311
"PHILLIP CABLE MANUFACTURING, INC",12/12/18,7/1/19,1691.98,Department of Defense,PURCHASE ORDER,GA,335311
"PHILLIP CABLE MANUFACTURING, INC",12/12/18,7/1/19,2999.99,Department of Defense,PURCHASE ORDER,GA,335311
"PHILLIP CABLE MANUFACTURING, INC",12/12/18,7/1/19,2250.99,Department of Defense,PURCHASE ORDER,GA,335311
"PHILLIP CABLE MANUFACTURING, INC",12/12/18,7/1/19,1450.99,Department of Defense,PURCHASE ORDER,GA,335311
"PHILLIP CABLE MANUFACTURING, INC",11/20/18,6/10/19,2143.96,Department of Defense,PURCHASE ORDER,GA,335311
"PHILLIP CABLE MANUFACTURING, INC",11/20/18,6/10/19,4799.4,Department of Defense,PURCHASE ORDER,GA,335311
"PHILLIP CABLE MANUFACTURING, INC",11/14/18,6/3/19,351.98,Department of Defense,PURCHASE ORDER,GA,335311
"PHILLIP CABLE MANUFACTURING, INC",11/13/18,6/3/19,2069.31,Department of Defense,PURCHASE ORDER,GA,335311
"PHILLIP CABLE MANUFACTURING, INC",11/13/18,6/3/19,1079.6,Department of Defense,PURCHASE ORDER,GA,335311
"PHILLIP CABLE MANUFACTURING, INC",11/8/18,5/28/19,29918,Department of Defense,PURCHASE ORDER,GA,335311
"PHILLIP CABLE MANUFACTURING, INC",10/16/18,5/6/19,6019.3,Department of Defense,PURCHASE ORDER,GA,335311
"PHILLIP CABLE MANUFACTURING, INC",10/16/18,5/6/19,1099.89,Department of Defense,PURCHASE ORDER,GA,335311
VERTEX LLC,10/16/18,11/26/18,780.84,Department of Defense,PURCHASE ORDER,GA,335311
"PHILLIP CABLE MANUFACTURING, INC",10/4/18,4/22/19,14340.06,Department of Defense,PURCHASE ORDER,GA,335311
"ALLIED SYSTEMS & CONTROLS, INC.",10/4/18,3/15/19,9960,Department of Defense,PURCHASE ORDER,GA,335311
"PHILLIP CABLE MANUFACTURING, INC",10/4/18,4/22/19,11987.97,Department of Defense,PURCHASE ORDER,GA,335311
"PHILLIP CABLE MANUFACTURING, INC",10/3/18,4/22/19,199.8,Department of Defense,PURCHASE ORDER,GA,335311
"PHILLIP CABLE MANUFACTURING, INC",10/1/18,4/19/19,673.4,Department of Defense,PURCHASE ORDER,GA,335311
"PHILLIP CABLE MANUFACTURING, INC",12/31/18,7/31/19,12599.79,Department of Defense,PURCHASE ORDER,GA,335311
"PHILLIP CABLE MANUFACTURING, INC",12/27/18,9/30/19,23868,Department of Defense,PURCHASE ORDER,GA,335311
"ALLIED SYSTEMS & CONTROLS, INC.",12/18/18,2/21/20,5578,Department of Defense,PURCHASE ORDER,GA,335311
"ALLIED SYSTEMS & CONTROLS, INC.",12/28/18,1/11/20,4390,Department of Defense,PURCHASE ORDER,GA,335311
"PHILLIP CABLE MANUFACTURING, INC",12/13/18,1/20/20,13950.09,Department of Defense,PURCHASE ORDER,GA,335311
"PHILLIP CABLE MANUFACTURING, INC",12/7/18,10/16/19,35117.82,Department of Defense,PURCHASE ORDER,GA,335311
"PHILLIP CABLE MANUFACTURING, INC",11/29/18,4/20/20,5387.88,Department of Defense,PURCHASE ORDER,GA,335311
"PHILLIP CABLE MANUFACTURING, INC",11/30/18,10/28/19,68014.4,Department of Defense,PURCHASE ORDER,GA,335311
"PHILLIP CABLE MANUFACTURING, INC",11/19/18,6/7/19,16261.7,Department of Defense,PURCHASE ORDER,GA,335311
"PHILLIP CABLE MANUFACTURING, INC",11/28/18,6/2/19,7055.64,Department of Defense,PURCHASE ORDER,GA,335311
"PHILLIP CABLE MANUFACTURING, INC",11/13/18,6/1/19,4701.98,Department of Defense,PURCHASE ORDER,GA,335311
"PHILLIP CABLE MANUFACTURING, INC",11/9/18,3/13/20,7450,Department of Defense,PURCHASE ORDER,GA,335311
"PHILLIP CABLE MANUFACTURING, INC",11/6/18,7/8/20,10899.96,Department of Defense,PURCHASE ORDER,GA,335311
"PHILLIP CABLE MANUFACTURING, INC",11/5/18,6/28/19,29410.8,Department of Defense,PURCHASE ORDER,GA,335311
"PHILLIP CABLE MANUFACTURING, INC",10/25/18,4/23/19,8500,Department of Defense,PURCHASE ORDER,GA,335311
"PHILLIP CABLE MANUFACTURING, INC",10/23/18,9/23/20,17459.9,Department of Defense,PURCHASE ORDER,GA,335311
"PHILLIP CABLE MANUFACTURING, INC",10/23/18,7/20/20,24948,Department of Defense,PURCHASE ORDER,GA,335311
"PHILLIP CABLE MANUFACTURING, INC",10/21/18,5/6/19,9999.98,Department of Defense,PURCHASE ORDER,GA,335311
"ALLIED SYSTEMS & CONTROLS, INC.",10/21/18,10/3/19,8800,Department of Defense,PURCHASE ORDER,GA,335311
"PHILLIP CABLE MANUFACTURING, INC",10/16/18,5/6/19,10751.88,Department of Defense,PURCHASE ORDER,GA,335311
"ALLIED SYSTEMS & CONTROLS, INC.",10/9/18,9/4/19,7950.01,Department of Defense,PURCHASE ORDER,GA,335311
"ALLIED SYSTEMS & CONTROLS, INC.",10/4/18,7/3/19,2620,Department of Defense,PURCHASE ORDER,GA,335311
"PHILLIP CABLE MANUFACTURING, INC",2/14/18,9/24/18,17959.5,Department of Defense,PURCHASE ORDER,GA,335311
"PHILLIP CABLE MANUFACTURING, INC",2/13/18,9/4/18,1199.8,Department of Defense,PURCHASE ORDER,GA,335311
"PHILLIP CABLE MANUFACTURING, INC",2/13/18,9/4/18,598,Department of Defense,PURCHASE ORDER,GA,335311
"PHILLIP CABLE MANUFACTURING, INC",2/1/18,7/31/18,898.5,Department of Defense,PURCHASE ORDER,GA,335311
"PHILLIP CABLE MANUFACTURING, INC",9/27/18,4/15/19,17423.56,Department of Defense,PURCHASE ORDER,GA,335311
"PHILLIP CABLE MANUFACTURING, INC",9/26/18,4/15/19,1479.95,Department of Defense,PURCHASE ORDER,GA,335311
"ALLIED SYSTEMS & CONTROLS, INC.",1/3/18,6/25/18,9496,Department of Defense,PURCHASE ORDER,GA,335311
"PHILLIP CABLE MANUFACTURING, INC",9/20/18,4/8/19,3950.9,Department of Defense,PURCHASE ORDER,GA,335311
VERTEX LLC,9/12/18,3/26/19,370.48,Department of Defense,PURCHASE ORDER,GA,335311
"PHILLIP CABLE MANUFACTURING, INC",8/20/18,3/8/19,2999.6,Department of Defense,PURCHASE ORDER,GA,335311
"PHILLIP CABLE MANUFACTURING, INC",8/20/18,3/8/19,16505.4,Department of Defense,PURCHASE ORDER,GA,335311
"PHILLIP CABLE MANUFACTURING, INC",8/16/18,3/4/19,587.7,Department of Defense,PURCHASE ORDER,GA,335311
"PHILLIP CABLE MANUFACTURING, INC",8/15/18,3/4/19,2359.41,Department of Defense,PURCHASE ORDER,GA,335311
"PHILLIP CABLE MANUFACTURING, INC",8/3/18,2/19/19,6367.92,Department of Defense,PURCHASE ORDER,GA,335311
"PHILLIP CABLE MANUFACTURING, INC",8/3/18,2/19/19,351.8,Department of Defense,PURCHASE ORDER,GA,335311
"PHILLIP CABLE MANUFACTURING, INC",8/3/18,2/19/19,5991.8,Department of Defense,PURCHASE ORDER,GA,335311
VERTEX LLC,7/26/18,1/28/19,2198.48,Department of Defense,PURCHASE ORDER,GA,335311
"PHILLIP CABLE MANUFACTURING, INC",6/25/18,1/11/19,715.9,Department of Defense,PURCHASE ORDER,GA,335311
"PHILLIP CABLE MANUFACTURING, INC",6/18/18,12/17/18,658.9,Department of Defense,PURCHASE ORDER,GA,335311
"PHILLIP CABLE MANUFACTURING, INC",6/18/18,9/26/18,2797.2,Department of Defense,PURCHASE ORDER,GA,335311
"PHILLIP CABLE MANUFACTURING, INC",6/13/18,12/31/18,4543.5,Department of Defense,PURCHASE ORDER,GA,335311
"PHILLIP CABLE MANUFACTURING, INC",5/1/18,10/29/18,5991.8,Department of Defense,PURCHASE ORDER,GA,335311
"PHILLIP CABLE MANUFACTURING, INC",4/24/18,10/22/18,1799.8,Department of Defense,PURCHASE ORDER,GA,335311
"PHILLIP CABLE MANUFACTURING, INC",4/12/18,12/28/18,0,Department of Defense,PURCHASE ORDER,GA,335311
"PHILLIP CABLE MANUFACTURING, INC",4/11/18,8/9/18,391.8,Department of Defense,PURCHASE ORDER,GA,335311
"PHILLIP CABLE MANUFACTURING, INC",3/15/18,10/1/18,1499.7,Department of Defense,PURCHASE ORDER,GA,335311
"PHILLIP CABLE MANUFACTURING, INC",9/12/18,8/9/19,20433.37,Department of Defense,PURCHASE ORDER,GA,335311
"PHILLIP CABLE MANUFACTURING, INC",8/31/18,6/1/20,21212.95,Department of Defense,PURCHASE ORDER,GA,335311
"PHILLIP CABLE MANUFACTURING, INC",8/30/18,3/18/19,7991.8,Department of Defense,PURCHASE ORDER,GA,335311
"ALLIED SYSTEMS & CONTROLS, INC.",8/24/18,3/12/19,28980,Department of Defense,PURCHASE ORDER,GA,335311
"PHILLIP CABLE MANUFACTURING, INC",8/17/18,3/5/19,2501.8,Department of Defense,PURCHASE ORDER,GA,335311
"PHILLIP CABLE MANUFACTURING, INC",8/13/18,4/22/19,97770.7,Department of Defense,PURCHASE ORDER,GA,335311
"PHILLIP CABLE MANUFACTURING, INC",8/7/18,11/25/19,1143.5,Department of Defense,PURCHASE ORDER,GA,335311
"PHILLIP CABLE MANUFACTURING, INC",7/26/18,11/25/19,0,Department of Defense,PURCHASE ORDER,GA,335311
"PHILLIP CABLE MANUFACTURING, INC",5/31/18,1/21/20,12499.5,Department of Defense,PURCHASE ORDER,GA,335311
"PHILLIP CABLE MANUFACTURING, INC",5/30/18,10/15/19,17475.4,Department of Defense,PURCHASE ORDER,GA,335311
"PHILLIP CABLE MANUFACTURING, INC",5/17/18,11/13/18,17500,Department of Defense,PURCHASE ORDER,GA,335311
"COMPRESSED GASES OF AUGUSTA, INC.",5/11/18,8/9/18,0,Department of Defense,PURCHASE ORDER,GA,335311
"PHILLIP CABLE MANUFACTURING, INC",5/1/18,10/29/18,1179.75,Department of Defense,PURCHASE ORDER,GA,335311
"PHILLIP CABLE MANUFACTURING, INC",4/27/18,9/9/19,21097.85,Department of Defense,PURCHASE ORDER,GA,335311
"PHILLIP CABLE MANUFACTURING, INC",4/23/18,9/10/18,695.9,Department of Defense,PURCHASE ORDER,GA,335311
"PHILLIP CABLE MANUFACTURING, INC",4/3/18,1/4/19,21141.7,Department of Defense,PURCHASE ORDER,GA,335311
"PHILLIP CABLE MANUFACTURING, INC",3/29/18,1/4/19,20416.68,Department of Defense,PURCHASE ORDER,GA,335311
"ALLIED SYSTEMS & CONTROLS, INC.",3/29/18,9/5/18,0,Department of Defense,PURCHASE ORDER,GA,335311
"PHILLIP CABLE MANUFACTURING, INC",3/26/18,9/24/18,699.3,Department of Defense,PURCHASE ORDER,GA,335311
"PHILLIP CABLE MANUFACTURING, INC",3/23/18,9/19/18,747.5,Department of Defense,PURCHASE ORDER,GA,335311
"PHILLIP CABLE MANUFACTURING, INC",3/21/18,10/9/18,3901.8,Department of Defense,PURCHASE ORDER,GA,335311
"PHILLIP CABLE MANUFACTURING, INC",3/22/18,7/29/19,16996.6,Department of Defense,PURCHASE ORDER,GA,335311
"PHILLIP CABLE MANUFACTURING, INC",3/27/18,4/22/19,0,Department of Defense,PURCHASE ORDER,GA,335311
"PHILLIP CABLE MANUFACTURING, INC",3/29/18,10/15/18,116544.5,Department of Defense,PURCHASE ORDER,GA,335311
"PHILLIP CABLE MANUFACTURING, INC",2/23/18,8/22/18,3025.9,Department of Defense,PURCHASE ORDER,GA,335311
"PHILLIP CABLE MANUFACTURING, INC",3/29/18,10/15/18,42632,Department of Defense,PURCHASE ORDER,GA,335311
"PHILLIP CABLE MANUFACTURING, INC",2/16/18,5/27/19,51383.4,Department of Defense,PURCHASE ORDER,GA,335311
LOCKHEED MARTIN CORPORATION,2/23/18,7/19/19,0,Department of Defense,PURCHASE ORDER,GA,335311
"PHILLIP CABLE MANUFACTURING, INC",1/29/18,8/17/18,5932.5,Department of Defense,PURCHASE ORDER,GA,335311
"PHILLIP CABLE MANUFACTURING, INC",1/22/18,1/28/19,150000,Department of Defense,PURCHASE ORDER,GA,335311
"ALLIED SYSTEMS & CONTROLS, INC.",12/28/17,1/2/19,14180,Department of Defense,PURCHASE ORDER,GA,335311
"ALLIED SYSTEMS & CONTROLS, INC.",10/25/17,4/30/19,50450,Department of Defense,PURCHASE ORDER,GA,335311
"PHILLIP CABLE MANUFACTURING, INC",9/21/17,10/11/18,6264.04,Department of Defense,PURCHASE ORDER,GA,335311
"PHILLIP CABLE MANUFACTURING, INC",8/29/17,5/1/19,5647.5,Department of Defense,PURCHASE ORDER,GA,335311
"ALLIED SYSTEMS & CONTROLS, INC.",8/24/17,4/22/19,9924,Department of Defense,PURCHASE ORDER,GA,335311
"PHILLIP CABLE MANUFACTURING, INC",8/9/17,2/5/18,1191.8,Department of Defense,PURCHASE ORDER,GA,335311
LOCKHEED MARTIN CORPORATION,7/31/17,11/5/18,0,Department of Defense,PURCHASE ORDER,GA,335311
"ALLIED SYSTEMS & CONTROLS, INC.",12/26/18,6/24/19,5300,Department of Defense,PURCHASE ORDER,GA,335311
"ALLIED SYSTEMS & CONTROLS, INC.",12/26/18,6/4/19,3000,Department of Defense,PURCHASE ORDER,GA,335311
"PHILLIP CABLE MANUFACTURING, INC",12/20/18,7/8/19,4487.97,Department of Defense,PURCHASE ORDER,GA,335311
"PHILLIP CABLE MANUFACTURING, INC",12/17/18,7/5/19,5647.5,Department of Defense,PURCHASE ORDER,GA,335311
"PHILLIP CABLE MANUFACTURING, INC",11/29/18,6/17/19,2950.99,Department of Defense,PURCHASE ORDER,GA,335311
"PHILLIP CABLE MANUFACTURING, INC",11/27/18,6/17/19,4031.93,Department of Defense,PURCHASE ORDER,GA,335311
"PHILLIP CABLE MANUFACTURING, INC",11/21/18,6/10/19,1999.8,Department of Defense,PURCHASE ORDER,GA,335311
"PHILLIP CABLE MANUFACTURING, INC",11/21/18,6/10/19,3454.95,Department of Defense,PURCHASE ORDER,GA,335311
"PHILLIP CABLE MANUFACTURING, INC",11/20/18,6/10/19,2301.8,Department of Defense,PURCHASE ORDER,GA,335311
"PHILLIP CABLE MANUFACTURING, INC",11/5/18,5/24/19,5995.99,Department of Defense,PURCHASE ORDER,GA,335311
"PHILLIP CABLE MANUFACTURING, INC",10/29/18,5/17/19,2581.8,Department of Defense,PURCHASE ORDER,GA,335311
"PHILLIP CABLE MANUFACTURING, INC",10/23/18,5/13/19,1117.87,Department of Defense,PURCHASE ORDER,GA,335311
"PHILLIP CABLE MANUFACTURING, INC",10/18/18,5/6/19,299.99,Department of Defense,PURCHASE ORDER,GA,335311
"PHILLIP CABLE MANUFACTURING, INC",10/17/18,5/6/19,13111.78,Department of Defense,PURCHASE ORDER,GA,335311
"PHILLIP CABLE MANUFACTURING, INC",10/12/18,4/30/19,43151.38,Department of Defense,PURCHASE ORDER,GA,335311
"PHILLIP CABLE MANUFACTURING, INC",10/9/18,4/29/19,38727,Department of Defense,PURCHASE ORDER,GA,335311
"PHILLIP CABLE MANUFACTURING, INC",10/9/18,4/29/19,7999.8,Department of Defense,PURCHASE ORDER,GA,335311
"PHILLIP CABLE MANUFACTURING, INC",10/3/18,4/22/19,35998,Department of Defense,PURCHASE ORDER,GA,335311
"PHILLIP CABLE MANUFACTURING, INC",10/1/18,4/19/19,21019.8,Department of Defense,PURCHASE ORDER,GA,335311
"PHILLIP CABLE MANUFACTURING, INC",7/18/18,2/4/19,999.99,Department of Defense,PURCHASE ORDER,GA,335311
"PHILLIP CABLE MANUFACTURING, INC",7/5/18,8/26/19,19999,Department of Defense,PURCHASE ORDER,GA,335311
"PHILLIP CABLE MANUFACTURING, INC",6/26/18,1/14/19,10487.7,Department of Defense,PURCHASE ORDER,GA,335311
"PHILLIP CABLE MANUFACTURING, INC",3/27/18,9/24/18,995.6,Department of Defense,PURCHASE ORDER,GA,335311
"PHILLIP CABLE MANUFACTURING, INC",3/16/18,9/12/18,1759.8,Department of Defense,PURCHASE ORDER,GA,335311
"PHILLIP CABLE MANUFACTURING, INC",3/7/18,9/4/18,2198.6,Department of Defense,PURCHASE ORDER,GA,335311
"PHILLIP CABLE MANUFACTURING, INC",2/21/18,10/1/18,0,Department of Defense,PURCHASE ORDER,GA,335311
"PHILLIP CABLE MANUFACTURING, INC",2/21/18,10/1/18,15967.6,Department of Defense,PURCHASE ORDER,GA,335311
VERTEX LLC,2/12/18,7/2/18,2587.2,Department of Defense,PURCHASE ORDER,GA,335311
"PHILLIP CABLE MANUFACTURING, INC",2/9/18,8/28/18,3342.1,Department of Defense,PURCHASE ORDER,GA,335311
"PHILLIP CABLE MANUFACTURING, INC",9/27/18,4/15/19,1599.2,Department of Defense,PURCHASE ORDER,GA,335311
"PHILLIP CABLE MANUFACTURING, INC",9/27/18,4/15/19,19509.9,Department of Defense,PURCHASE ORDER,GA,335311
"PHILLIP CABLE MANUFACTURING, INC",9/12/18,4/1/19,8996.4,Department of Defense,PURCHASE ORDER,GA,335311
"PHILLIP CABLE MANUFACTURING, INC",9/10/18,3/29/19,13199.98,Department of Defense,PURCHASE ORDER,GA,335311
"PHILLIP CABLE MANUFACTURING, INC",9/10/18,3/29/19,59879.7,Department of Defense,PURCHASE ORDER,GA,335311
"PHILLIP CABLE MANUFACTURING, INC",9/5/18,3/25/19,15309.8,Department of Defense,PURCHASE ORDER,GA,335311
"PHILLIP CABLE MANUFACTURING, INC",8/31/18,3/19/19,1499.4,Department of Defense,PURCHASE ORDER,GA,335311
"PHILLIP CABLE MANUFACTURING, INC",8/27/18,3/15/19,8850,Department of Defense,PURCHASE ORDER,GA,335311
"PHILLIP CABLE MANUFACTURING, INC",8/23/18,3/11/19,1799.8,Department of Defense,PURCHASE ORDER,GA,335311
"PHILLIP CABLE MANUFACTURING, INC",8/21/18,3/11/19,11921.2,Department of Defense,PURCHASE ORDER,GA,335311
"PHILLIP CABLE MANUFACTURING, INC",8/20/18,3/8/19,1991.8,Department of Defense,PURCHASE ORDER,GA,335311
"PHILLIP CABLE MANUFACTURING, INC",8/20/18,3/8/19,5381.8,Department of Defense,PURCHASE ORDER,GA,335311
"PHILLIP CABLE MANUFACTURING, INC",8/17/18,3/5/19,2158.8,Department of Defense,PURCHASE ORDER,GA,335311
"PHILLIP CABLE MANUFACTURING, INC",8/15/18,3/4/19,949.9,Department of Defense,PURCHASE ORDER,GA,335311
"PHILLIP CABLE MANUFACTURING, INC",8/13/18,3/1/19,2301.8,Department of Defense,PURCHASE ORDER,GA,335311
"PHILLIP CABLE MANUFACTURING, INC",8/9/18,2/25/19,1991.8,Department of Defense,PURCHASE ORDER,GA,335311
"PHILLIP CABLE MANUFACTURING, INC",8/7/18,2/25/19,1232.91,Department of Defense,PURCHASE ORDER,GA,335311
